document type;title;keywords;abstract;source db;year;doi;authors;url;affiliation countries;task facet;research facet;contribution facet;domain;entity extraction;relation extraction;attribute extraction;entity linking;entity alignment;relation linking;ontology construction;entity classification;relation classification;link prediction;triple classification;error detection;augmented language models;conversational interfaces;knowledge graph embedding;data-to-text generation;question generation;semantic search;machine translation;text analysis;text generation;question answering;natural language inference;semantic parsing;semantic similarity;text classification;text summarization;validation research;solution proposal;evaluation research;secondary research;opinion paper;technique;method;tool;resource;guidelines;health;scholarly domain;engineering;business;law;education;natural science;energy;social media;entertainment media;information technology;tourism;culture;news;agriculture;public sector;history;sports;food;social science;United States;Canada;Australia;Austria;Brazil;Bulgaria;China;Croatia;Denmark;Ecuador;Egypt;France;Georgia;Germany;Greece;Hong Kong;India;Iran;Ireland;Israel;Italy;Japan;South Korea;Lebanon;Mexico;Mongolia;Morocco;Netherlands;New Zealand;Niger;Nigeria;Norway;Portugal;Russian Federation;Singapore;Slovenia;Spain;Sweden;Switzerland;Taiwan;Thailand;United Kingdom;Vietnam;Europe
Conference Paper;artificial intelligence for the early design phases of space missions;"Concurrent engineering; Data handling; Economic and social effects; Engines; Expert systems; Knowledge management; Knowledge representation; Learning algorithms; Learning systems; Life cycle; Natural language processing systems; Network architecture; Ontology; Space flight; User interfaces; European Space Agency; Human-machine interaction; Knowledge representation and reasoning; Model-based system engineerings; Multi word extraction; NAtural language processing; Searching for informations; Word Sense Disambiguation; Data mining";Recent introduction of data mining methods has led to a paradigm shift in the way we can analyze space data. This paper demonstrates that Artificial Intelligence (AI), and especially the field of Knowledge Representation and Reasoning (KRR), could also be successfully employed at the start of the space mission life cycle via an Expert System (ES) used as a Design Engineering Assistant (DEA). An ES is an AI-based agent used to solve complex problems in particular fields. There are many examples of ES being successfully implemented in the aeronautical, agricultural, legal or medical fields. Applied to space mission design, and in particular, in the context of concurrent engineering sessions, an ES could serve as a knowledge engine and support the generation of the initial design inputs, provide easy and quick access to previous design decisions or push to explore new design options. Integrated to the User design environment, the DEA could become an active assistant following the design iterations and flagging model inconsistencies. Today, for space missions design, experts apply methods of concurrent engineering and Model-Based System Engineering, relying both on their implicit knowledge (i.e., past experiences, network) and on available explicit knowledge (i.e., past reports, publications, data sheets). The former knowledge type represents still the most significant amount of data, mostly unstructured, non-digital or digital data of various legacy formats. Searching for information through this data is highly time-consuming. A solution is to convert this data into structured data to be stored into a Knowledge Graph (KG) that can be traversed by an inference engine to provide reasoning and deductions on its nodes. Knowledge is extracted from the KG via a User Interface (UI) and a query engine providing reliable and relevant knowledge summaries to the Human experts. The DEA project aims to enhance the productivity of experts by providing them with new insights into a large amount of data accumulated in the field of space mission design. Natural Language Processing (NLP), Machine Learning (ML), Knowledge Management (KM) and Human-Machine Interaction (HMI) methods are leveraged to develop the DEA. Building the knowledge base manually is subjective, time-consuming, laborious and error bound. This is why the knowledge base generation and population rely on Ontology Learning (OL) methods. This OL approach follows a modified model of the Ontology Layer Cake. This paper describes the approach and the parameters used for the qualitative trade-off for the selection of the software to be adopted in the architecture of the ES. The study also displays the first results of the multi-word extraction and highlights the importance of Word Sense Disambiguation for the identification of synonyms in the context. This paper includes the detailed software architecture of both front and back-ends, as well as the tool requirements. Both architectures and requirements were refined after a set of interviews with experts from the European Space Agency. The paper finally presents the preliminary strategy to quantify and mitigate uncertainties within the ES. © 2019 IEEE.;IEEE;2019;10.1109/aero.2019.8742082;Berquand A., Murdaca F., Riccardi A., Soares T., Generé S., Brauer N., Kumar K.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068345246&doi=10.1109%2fAERO.2019.8742082&partnerID=40&md5=d2f4d8a6525558a62ed49c0c8931a394;Germany, United Kingdom, Netherlands;"entity extraction; relation extraction; ontology construction";solution proposal;tool;engineering;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Conference Paper;unscripted conversation through knowledge graph;"Conversational AI; Knowledge Graph; Natural Language Processing";"In this paper, we introduce ""unscripted conversation"" - free form dialog over a domain knowledge graph. We describe a use case around Luggage handling for a commercial airline where we answer users queries regarding various policies such as luggage dimensions, restrictions on carry-on items, travel routes etc. We have encoded the domain entities, relationships, processes and polices in the knowledge graph and created a generic semantic natural language processing engine to process user queries and retrieve the correct results from a knowledge graph. © 2020 CEUR-WS. All rights reserved.";Scopus;2020;;Ramnani R.R., Sengupta S., Gakhar A., Maheshwari S., Mitra S.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096232985&partnerID=40&md5=2798bb051049b396493c4f360e1d17f8;;"conversational interfaces; question answering";solution proposal;method;business;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conference Paper;agrikg: an agricultural knowledge graph and its applications;"Character recognition; Database systems; Deep learning; Agricultural productions; Downstream applications; Intelligent technology; ITS applications; Knowledge graphs; Learning techniques; Question Answering; Unstructured texts; Agriculture";Recently, with the development of information and intelligent technology, agricultural production and management have been significantly boosted. But it still faces considerable challenges on how to effectively integrate large amounts of fragmented information for downstream applications. To this end, in this paper, we propose an agricultural knowledge graph, namely AgriKG, to automatically integrate the massive agricultural data from internet. By applying the NLP and deep learning techniques, AgriKG can automatically recognize agricultural entities from unstructured text, and link them to form a knowledge graph. Moreover, we illustrate typical scenarios of our AgriKG and validate it by real-world applications, such as agricultural entity retrieval, and agricultural question answering, etc. © 2019, Springer Nature Switzerland AG.;Scopus;2019;10.1007/978-3-030-18590-9_81;Chen Y., Kuang J., Cheng D., Zheng J., Gao M., Zhou A.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065399556&doi=10.1007%2f978-3-030-18590-9_81&partnerID=40&md5=4b5bb7807a3da3097fe375249ed03125;China;"entity extraction; relation extraction; semantic search";solution proposal;tool;agriculture;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Journal Article;research on ontology non-taxonomic relations extraction in plant domain knowledge graph construction;"Baidu Encyclopedia; Knowledge graph; Non-taxonomic relation; Ontology learning; Plant domain ontology";In order to provide more specific knowledge and technology of plant field, the main task of KG (knowledge graph) is to extract a wealth of concepts and relationships. Due to the relation extraction is the most difficult in KG construction, this paper makes use of ontology learning, and proposes a non-taxonomic relation learning method to obtain representative concepts and their relations from unstructured and semi-structured texts of Baidu Encyclopedia entry content by using lexicon-syntactic patterns based on dependency grammar analysis. Moreover, the methods of adding constraint models and words filtering were adopted to build heavy weight ontology automatically based on a lightweight ontology and greatly improved the precision of the relation extraction. The approach established a concept structure from the plant domain corpus, ameliorated the discovery of the most representative non-taxonomic relation, and formalized them in the standardized OWL 2.0. A set of experiments was performed using the approach implemented in the plant domain. The results indicated that extraction by patterns should be performed directly after natural language processing, which has a comparatively high accuracy compared to the former algorithms, and this approach can extract non-taxonomic relations with high effectiveness, which lays the foundation for KG construction of plant field. © 2016, Chinese Society of Agricultural Machinery. All right reserved.;Scopus;2016;10.6041/j.issn.1000-1298.2016.09.038;Zhao M., Du Y., Du H., Zhang J., Wang H., Chen Y.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988660563&doi=10.6041%2fj.issn.1000-1298.2016.09.038&partnerID=40&md5=f578bbb0a9afd1a77fbfa35c2e6698ee;China;"entity extraction; relation extraction; ontology construction";validation research;method;agriculture;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Journal Article;semantic publication of agricultural scientific literature using property graphs;"Digital publishing; Knowledge graph; Literature search; Property graph; Semantic web";"During the last decades, there have been significant changes in science that have provoked a big increase in the number of articles published every year. This increment implies a new difficulty for scientists, who have to do an extra effort for selecting literature relevant for their activity. In this work, we present a pipeline for the generation of scientific literature knowledge graphs in the agriculture domain. The pipeline combines SemanticWeb and natural language processing technologies, which make data understandable by computer agents, empowering the development of final user applications for literature searches. This workflow consists of (1) RDF generation, including metadata and contents; (2) semantic annotation of the content; and (3) property graph population by adding domain knowledge from ontologies, in addition to the previously generated RDF data describing the articles. This pipeline was applied to a set of 127 agriculture articles, generating a knowledge graph implemented in Neo4j, publicly available on Docker. The potential of our model is illustrated through a series of queries and use cases, which not only include queries about authors or references but also deal with article similarity or clustering based on semantic annotation, which is facilitated by the inclusion of domain ontologies in the graph. © 2019 by the authors.";Scopus;2020;10.3390/app10030861;Abad-Navarro F., Bernabé-Diaz J.A., García-Castro A., Fernandez-Breis J.T.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081533013&doi=10.3390%2fapp10030861&partnerID=40&md5=154297ed2705465af62db64c08e57165;Germany, Spain;"entity extraction; relation extraction; ontology construction; semantic search";solution proposal;method;agriculture;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Conference Paper;autokg - an automotive domain knowledge graph for software testing: a position paper;"Automotive Domain Knowledge Graph; Natural Language Processing; Software Testing";Industries have a significant amount of data in semi-structured and unstructured formats which are typically captured in text documents, spreadsheets, images, etc. This is especially the case with the software description documents used by domain experts in the automotive domain to perform tasks at various phases of the Software Development Life Cycle (SDLC). In this paper, we propose an end-to-end pipeline to extract an Automotive Knowledge Graph (AutoKG) from textual data using Natural Language Processing (NLP) techniques with the application of automatic test case generation. The proposed pipeline primarily consists of the following components: 1) AutoOntology, an ontology that has been derived by analyzing several industry scale automotive domain software systems, 2) AutoRE, a Relation Extraction (RE) model to extract triplets from various sentence types typically found in the automotive domain, and 3) AutoVec, a neural embedding based algorithm for triplet matching and context-based search. We demonstrate the pipeline with an application of automatic test case generation from requirements using AutoKG. © 2021 IEEE.;IEEE;2021;10.1109/icstw52544.2021.00047;Kesri V., Nayak A., Ponnalagu K.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108021658&doi=10.1109%2fICSTW52544.2021.00047&partnerID=40&md5=1ca3f1540a1e7c0912803defe84e593d;India;semantic search;opinion paper;method;engineering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conference Paper;a framework for modeling knowledge graphs via processing natural descriptions of vehicle-pedestrian interactions;"Knowledge graph; Natural language processing; Pedestrian behavior";The full-scale deployment of autonomous driving demands successful interaction with pedestrians and other vulnerable road users, which requires an understanding of their dynamic behavior and intention. Current research achieves this by estimating pedestrian’s trajectory mainly based on the gait and movement information in the past as well as other relevant scene information. However, the autonomous vehicles still struggle with such interactions since the visual features alone may not supply subtle details required to attain a superior understanding. The decision-making ability of the system can improve by incorporating human knowledge to guide the vision-based algorithms. In this paper, we adopt a novel approach to retrieve human knowledge from the natural text descriptions about the pedestrian-vehicle encounters, which is crucial to anticipate the pedestrian intention and is difficult for computer vision (CV) algorithms to capture automatically. We applied natural language processing (NLP) techniques on the aggregated description from different annotators to generate a temporal knowledge graph, which can achieve the changes of intention and the corresponding reasoning processes in a better resolution. In future work, we plan to show that in combination with video processing algorithms, the knowledge graph has the potential to aid the decision-making process to be more accurate by passively integrating the reasoning ability of humans. © 2020, Springer Nature Switzerland AG.;Scopus;2020;10.1007/978-3-030-59987-4_4;Elahi M.F., Luo X., Tian R.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097241483&doi=10.1007%2f978-3-030-59987-4_4&partnerID=40&md5=2c9010bbacc169f5efb4b0475662670d;India, United States;"entity extraction; relation extraction";solution proposal;method;engineering;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Journal Article;construction of an industrial knowledge graph for unstructured chinese text learning;"Deep learning; Industrial big data; Industrial knowledge graph; Industry 4.0; Intellectualization of industrial information; Social network";"The industrial 4.0 era is the fourth industrial revolution and is characterized by network penetration; therefore, traditional manufacturing and value creation will undergo revolutionary changes. Artificial intelligence will drive the next industrial technology revolution, and knowledge graphs comprise the main foundation of this revolution. The intellectualization of industrial information is an important part of industry 4.0, and we can efficiently integrate multisource heterogeneous industrial data and realize the intellectualization of information through the powerful semantic association of knowledge graphs. Knowledge graphs have been increasingly applied in the fields of deep learning, social network, intelligent control and other artificial intelligence areas. The objective of this present study is to combine traditional NLP (natural language processing) and deep learning methods to automatically extract triples from large unstructured Chinese text and construct an industrial knowledge graph in the automobile field. © 2019 by the authors.";Scopus;2019;10.3390/app9132720;Zhao M., Wang H., Guo J., Liu D., Xie C., Liu Q., Cheng Z.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072242633&doi=10.3390%2fAPP9132720&partnerID=40&md5=6d0643c1ddf245c6c8c1dcfe7cb02a4f;China;"entity extraction; relation extraction";validation research;method;engineering;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conference Paper;knowledge graph of mergers and acquisitions;"Knowledge Graphs; Natural Language Processing";Context driven decision making is a key factor to make critical decisions in business applications. We present the design and application of a knowledge graph to aid the context driven decision making for studying the patterns in Mergers and Acquisitions (MA) activities in the industry. Using text data from news articles we make use of a Natural Language Processing pipeline to extract entities and relations to build a knowledge graph. The entity recognition model was 90.97% accurate in detecting the entities. The graph is further enriched with metadata from Wikipedia. We finally demonstrate two use cases to showcase the utility of the knowledge graph for making business decisions. © 2021 IEEE.;IEEE;2021;10.1109/esci50559.2021.9397038;Bhoomkar Y., Vernekar S., Kulkarni A., Kulkarni P., Aniyan A.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104583816&doi=10.1109%2fESCI50559.2021.9397038&partnerID=40&md5=a46f6e917d4b231c8202a0d0af384078;India;"entity extraction; relation extraction";solution proposal;method;business;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conference Paper;ai-supported innovation monitoring;"Human-machine interaction; Hybrid AI; Innovation; Knowledge graph; Natural Language Processing; Policy-making";Small and medium enterprises (SMEs) are a driving force for innovation. Stimulation of innovation in these SMEs is often the target of policy interventions, both regionally and nationally. Which technical areas should be in the focus and how to identify and monitor them? In this position paper, we propose hybrid AI methods for innovation monitoring, using natural language processing (NLP) and a dynamic knowledge graph that combines learning, reasoning and knowledge sharing in collaboration with innovation experts. © 2021, Springer Nature Switzerland AG.;Scopus;2021;10.1007/978-3-030-73959-1_20;Braaksma B., Daas P., Raaijmakers S., Geurts A., Meyer-Vitali A.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105908818&doi=10.1007%2f978-3-030-73959-1_20&partnerID=40&md5=808f6a86b179c6c1bbdae9c424e72581;Netherlands;semantic search;opinion paper;method;business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
